Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen país,Origen localidad,Vuelos,Pasajeros,Asientos
2025,Enero,LATAM,Jorge Chávez International Airport,Aeropuerto Int. Ministro Pistarini,Perú,Lima,82,10370,13026
2025,Enero,LATAM,Aeropuerto Int. de Rosario Islas Malvinas,Jorge Chávez International Airport,Argentina,Rosario,15,2124,2454
2025,Enero,LATAM,Aeropuerto Int. Ingeniero Ambrosio Taravella,Jorge Chávez International Airport,Argentina,Córdoba,30,4485,4842
2025,Enero,LATAM,Aeropuerto Int. Martín Miguel de Güemes,Jorge Chávez International Airport,Argentina,Salta,22,3426,3684
2025,Enero,LATAM,Jorge Chávez International Airport,Aeropuerto Int. de Rosario Islas Malvinas,Perú,Lima,14,1731,2280
2025,Enero,LATAM,Jorge Chávez International Airport,Aeroparque Jorge Newbery,Perú,Lima,61,8711,10314
2025,Enero,Aerolíneas Argentinas,Carrasco International /General C L Berisso Airport,Aeroparque Jorge Newbery,Uruguay,Montevideo,58,6035,7321
2025,Enero,LATAM,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Comodoro Arturo Merino Benítez International Airport,Argentina,Mendoza,62,10478,11770
2025,Enero,LATAM,Aeroparque Jorge Newbery,Jorge Chávez International Airport,Argentina,Buenos Aires,66,9663,11232
2025,Enero,LATAM,Jorge Chávez International Airport,Aeropuerto Int. Martín Miguel de Güemes,Perú,Lima,22,3009,3684
2025,Enero,Level,Barcelona International Airport/El Prat,Aeropuerto Int. Ministro Pistarini,España,Barcelona,32,8651,9904
2025,Enero,Level,Aeropuerto Int. Ministro Pistarini,Barcelona International Airport/El Prat,Argentina,Buenos Aires,33,9584,10203
2025,Enero,Lufthansa,Frankfurt am Main International Airport,Aeropuerto Int. Ministro Pistarini,Alemania,Frankfurt am Main,29,9555,10681
2025,Enero,Lufthansa,Aeropuerto Int. Ministro Pistarini,Frankfurt am Main International Airport,Argentina,Buenos Aires,29,10337,10681
2025,Enero,Sky Airline,Aeroparque Jorge Newbery,Comodoro Arturo Merino Benítez International Airport,Argentina,Buenos Aires,61,9522,11381
2025,Enero,Sky Airline,Aeroparque Jorge Newbery,Jorge Chávez International Airport,Argentina,Buenos Aires,18,3314,3348
2025,Enero,Sky Airline,Aeropuerto Int. Ministro Pistarini,Comodoro Arturo Merino Benítez International Airport,Argentina,Buenos Aires,59,9603,10974
2025,Enero,Sky Airline,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Comodoro Arturo Merino Benítez International Airport,Argentina,Mendoza,41,6763,7626
2025,Enero,Sky Airline,Aeropuerto Comte. Armando Tola,Comodoro Arturo Merino Benítez International Airport,Argentina,El Calafate,9,1336,1675
2025,Enero,Sky Airline,Comodoro Arturo Merino Benítez International Airport,Aeroparque Jorge Newbery,Chile,Santiago,78,10216,14543
2025,Enero,Sky Airline,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Int. Ministro Pistarini,Chile,Santiago,36,5283,6696
2025,Enero,Sky Airline,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Chile,Santiago,46,6426,8556
